,order,id,date,time,title,url,visitCount,typedCount,transition
1030,1030,27090,8/18/2024,13:41:42,,https://www.google.com/search?q=lemon+in+japanese&oq=lemon+in+ja&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBggBEEUYOTIHCAIQLhiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABDIHCAoQABiABDIHCAsQABiABDIHCAwQABiABDIJCA0QABgKGIAEMggIDhAAGBYYHtIBCDkyMjdqMGo3qAIUsAIB&client=ms-android-samsung-rvo1&sourceid=chrome-mobile&ie=UTF-8,1,0,reload
1082,1082,27058,8/17/2024,22:21:50,,https://portal.ustraveldocs.com/confirmreceipt,3,0,form_submit
1083,1083,27058,8/17/2024,22:21:28,,https://portal.ustraveldocs.com/confirmreceipt,3,0,link
1084,1084,27060,8/17/2024,22:20:30,,https://portal.ustraveldocs.com/apex/alipaylanding?buyer_email=133****0629&buyer_id=2088022557990036&exterface=create_direct_pay_by_user&is_success=T&notify_id=RqPnCoPT3K9%252Fvwbh3IqDPR3wyuGKxHJmRodS6rUZMUgcyF1PZ6pFUwDPux33a%252FTa1vl8&notify_time=2024-08-18+10%3A20%3A26&notify_type=trade_status_sync&out_trade_no=730179425996708689381730&payment_type=1&seller_email=zla***%40cgifederal.com&seller_id=2088431886169851&subject=US+Visa+Fee+%E8%B5%B4%E7%BE%8E%E7%AD%BE%E8%AF%81%E8%B4%B9%E7%BC%B4%E8%B4%B9&total_fee=1369.00&trade_no=2024081822001490031418260622&trade_status=TRADE_SUCCESS&sign=903c811b417bbe0e625ee1b50109519a&sign_type=MD5,1,0,link
1087,1087,27066,8/17/2024,22:19:49,,https://portal.ustraveldocs.com/apex/AlipayRequest?quantity=01,1,0,link
1088,1088,27058,8/17/2024,22:17:29,,https://portal.ustraveldocs.com/confirmreceipt,3,0,link
1092,1092,27068,8/17/2024,22:08:47,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1093,1093,27068,8/17/2024,22:08:42,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,reload
1095,1095,27068,8/17/2024,22:08:18,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1096,1096,27068,8/17/2024,22:08:07,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1097,1097,27068,8/17/2024,22:06:48,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1098,1098,27068,8/17/2024,22:06:43,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1099,1099,27068,8/17/2024,22:06:19,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1100,1100,27068,8/17/2024,22:06:02,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1101,1101,27068,8/17/2024,22:05:13,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1102,1102,27068,8/17/2024,22:04:40,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1103,1103,27068,8/17/2024,22:04:35,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1104,1104,27068,8/17/2024,22:04:18,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1105,1105,27068,8/17/2024,22:04:09,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1106,1106,27068,8/17/2024,22:04:02,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1107,1107,27068,8/17/2024,22:03:59,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,form_submit
1108,1108,27068,8/17/2024,22:03:15,,https://portal.ustraveldocs.com/selectdropboxquestions,15,0,link
1109,1109,27069,8/17/2024,22:03:08,,https://portal.ustraveldocs.com/adddependents,1,0,link
1110,1110,27070,8/17/2024,22:03:06,,https://portal.ustraveldocs.com/updatedata,2,0,form_submit
1111,1111,27070,8/17/2024,21:48:42,,https://portal.ustraveldocs.com/updatedata,2,0,link
1112,1112,27071,8/17/2024,21:48:40,,https://portal.ustraveldocs.com/selectvisacode,2,0,form_submit
1113,1113,27071,8/17/2024,21:48:22,,https://portal.ustraveldocs.com/selectvisacode,2,0,link
1114,1114,27072,8/17/2024,21:48:20,,https://portal.ustraveldocs.com/selectvisacategory,2,0,form_submit
1117,1117,27072,8/17/2024,21:47:51,,https://portal.ustraveldocs.com/selectvisacategory,2,0,link
1118,1118,27075,8/17/2024,21:47:50,,https://portal.ustraveldocs.com/selectpost,2,0,form_submit
1119,1119,27075,8/17/2024,21:47:45,,https://portal.ustraveldocs.com/selectpost,2,0,link
1120,1120,27076,8/17/2024,21:47:44,,https://portal.ustraveldocs.com/selectvisatype,2,0,form_submit
1121,1121,27076,8/17/2024,21:47:28,,https://portal.ustraveldocs.com/selectvisatype,2,0,link
1122,1122,27077,8/17/2024,21:47:27,,https://portal.ustraveldocs.com/applicanthome,3,0,form_submit
1123,1123,27077,8/17/2024,21:46:33,,https://portal.ustraveldocs.com/applicanthome,3,0,form_submit
1124,1124,27077,8/17/2024,21:46:26,,https://portal.ustraveldocs.com/applicanthome,3,0,link
1125,1125,27081,8/17/2024,21:46:00,,https://portal.ustraveldocs.com/SiteRegister?country=China&language=en_US,1,0,link
1308,1308,24710,8/16/2024,11:14:15,,https://deepnote.com/workspace,2,0,link
1309,1309,24709,8/16/2024,11:14:13,,https://deepnote.com/auth/magic-link?magic_link_token=abe8a03a-506d-4601-a744-7f6b2b65b006&redirect_to=https%3A%2F%2Fdeepnote.com%2Fworkspace&source=landing-page,2,2,typed
1612,1612,26830,8/15/2024,14:51:34,,https://raw.githubusercontent.com/sean-jang/eventsim/main/10000.json,2,0,link
1634,1634,26830,8/15/2024,14:13:35,,https://raw.githubusercontent.com/sean-jang/eventsim/main/10000.json,2,0,link
1733,1733,26769,8/15/2024,8:55:29,,https://auth0.openai.com/u/login/identifier?state=hKFo2SA1MTZJbVJyakg1UXZNNnpueEJ2WmktX01zVkIwWXZ3d6Fur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGVNRmpOZE9UTURxVWk1S2RBOC1PV2ZqUk02Qm9PUXVVo2NpZNkgVGRKSWNiZTE2V29USHROOTVueXl3aDVFNHlPbzZJdEc,1,0,link
2373,2373,26415,8/14/2024,8:15:33,,https://runawayhorse001.github.io/LearningApacheSpark/pyspark.pdf,1,0,link
3055,3055,26122,8/13/2024,11:26:24,,https://deepnote.com/auth/github-app-installation/callback?code=7d0ed1c542fe7c253a44&installation_id=53757787&setup_action=install&state=%7B%22token%22%3A%224b0bce73be29461%22%2C%22userId%22%3A%22ZGY2NjNmN2EtMjAwNC00ZmQ0LTliM2QtZmM3MDRmYjY5ZTZm%22%7D,1,0,link
3242,3242,26063,8/13/2024,1:02:59,,https://outlook.office365.com/owa/?state=1&redirectTo=aHR0cHM6Ly9vdXRsb29rLm9mZmljZTM2NS5jb20vbWFpbC9pbmJveC9pZC9BQVFrQURFeVl6SXhOR1ZpTFRRellqSXRORFJpTVMxaU16RTVMV0ptTkRRNVptUTJaamRsTmdBUUFFWlZuenNEOG5KT2c2aXhQQ1l1VStZPQ,1,0,link
4118,4118,25524,8/12/2024,8:54:40,,https://api.dictionaryapi.dev/api/v2/entries/en/sky,1,0,link
4539,4539,25354,8/10/2024,19:08:39,,https://api.dictionaryapi.dev/api/v2/entries/en/cloud,1,0,link
4541,4541,25350,8/10/2024,19:07:36,,https://api.dictionaryapi.dev/api/v2/entries/en/python,2,0,link
4547,4547,25351,8/10/2024,19:06:11,,https://api.dictionaryapi.dev/api/v2/entries/en/java,1,0,link
4549,4549,25350,8/10/2024,19:05:50,,https://api.dictionaryapi.dev/api/v2/entries/en/python,2,0,link
4552,4552,25349,8/10/2024,19:05:31,,https://api.dictionaryapi.dev/api/v1/entries/en/hello,1,1,typed
4772,4772,25293,8/10/2024,15:49:25,,https://api.dictionaryapi.dev/api/v2/entries/en/bliss,1,0,link
4868,4868,25251,8/9/2024,22:18:36,,https://api.dictionaryapi.dev/api/v2/entries/en/define,1,0,link
4872,4872,25250,8/9/2024,22:18:17,,https://dictionaryapi.dev/define,2,1,typed
4873,4873,25250,8/9/2024,22:18:10,,https://dictionaryapi.dev/define,2,1,typed
4897,4897,25245,8/9/2024,21:58:52,,https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js,1,0,link
5610,5610,24826,8/7/2024,22:25:08,,https://www.office.com/?acctsw=1,1,0,form_submit
5618,5618,3215,8/7/2024,22:24:01,,https://mysignins.microsoft.com/api/post/registrationinterrupt,2,0,form_submit
6163,6163,24709,8/7/2024,11:55:23,,https://deepnote.com/auth/magic-link?magic_link_token=abe8a03a-506d-4601-a744-7f6b2b65b006&redirect_to=https%3A%2F%2Fdeepnote.com%2Fworkspace&source=landing-page,2,2,typed
6164,6164,24710,8/7/2024,11:55:23,,https://deepnote.com/workspace,2,0,typed
6165,6165,24711,8/7/2024,11:55:23,,https://deepnote.com/onboarding,1,0,typed
6166,6166,24708,8/7/2024,11:52:43,,https://deepnote.com/sign-up,2,0,link
6171,6171,24708,8/7/2024,11:52:08,,https://deepnote.com/sign-up,2,0,link
6942,6942,24387,8/5/2024,8:21:58,,https://auth0.openai.com/u/login/identifier?state=hKFo2SBkNS1yYS1sZFI0RzBGTDQzTmVjQVc1SWQ2eXA5aUhfVKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIFFtV196Z1FJRV9ZUWs0ekRaSHVfRXJ0djVEenFITGVuo2NpZNkgVGRKSWNiZTE2V29USHROOTVueXl3aDVFNHlPbzZJdEc,1,0,link
7441,7441,24175,8/3/2024,17:08:01,,https://replit.com/auth/close,1,0,link
7568,7568,24102,8/2/2024,18:29:19,,https://www.rfvxut.xyz:8888/13.html,1,0,link
7570,7570,24103,8/2/2024,18:29:12,,https://xrhf.taimei-t014.vip/,1,0,link
8780,8780,23233,8/1/2024,22:18:03,,https://camo.githubusercontent.com/98a28b177abe7fc569f4b5360db94d4d05700f73acf9357f046f36e5ed476aa9/68747470733a2f2f73747265616b2d73746174732e64656d6f6c61622e636f6d2f3f757365723d4a61726564546861636b6572267468656d653d746f6b796f6e696768742d64756f,1,0,link
10176,10176,22406,7/31/2024,14:10:35,,https://zipcode-3s-lab.s3.amazonaws.com/photo1.jpg,1,0,link
10428,10428,22292,7/30/2024,17:00:51,,https://regexer.com/,1,1,typed
12400,12400,21385,7/28/2024,14:24:05,,file:///Users/qian/Desktop/ZipCode/Python/FirstJupyterNotebook/museum_map.html,1,0,auto_toplevel
12489,12489,20323,7/27/2024,23:29:24,,https://www.google.com/search?q=%E7%8B%AE%E5%AD%90%E7%8C%AB%E7%8C%AB%E8%88%8D&oq=%E7%8B%AE%E5%AD%90%E7%8C%AB%E7%8C%AB%E8%88%8D&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIKCAEQABiABBiiBDIKCAIQABiABBiiBDIKCAMQABiABBiiBDIKCAQQABiABBiiBNIBCDE0MDVqMGo3qAIUsAIB&client=ms-android-samsung-rvo1&sourceid=chrome-mobile&ie=UTF-8#ip=1,1,0,reload
12799,12799,21207,7/26/2024,14:25:38,,https://www.geeksforgeeks.org/python-yield-keyword/,1,0,link
13053,13053,21064,7/25/2024,14:05:13,,https://auth0.openai.com/u/login/identifier?state=hKFo2SBGaFkyWk5lNm5FTDFORU1IUE9jMHBYTGFrZDVGbXN3NKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIEtRbUI1eGxranJMbmRlSmQtbzdScXhjck1IajRWZl9Eo2NpZNkgVGRKSWNiZTE2V29USHROOTVueXl3aDVFNHlPbzZJdEc,1,0,link
13396,13396,20937,7/24/2024,17:22:29,,https://nomore404pls.com/l2/?csum=fJbzzK_96dT1SJP4V1hni0BOf9IF5tNUedkbXoPuXIN79sO0Wg7CAtrLbAYNTV0xZ2iHRrDuZo4kA3gY-fYCtA%2C%2C&_subid=2kn0pfvdo83sm&_token=uuid_2kn0pfvdo83sm_2kn0pfvdo83sm66a170952ad5a2.08011932,1,0,link
13427,13427,20917,7/24/2024,16:49:41,,https://nomore404pls.com/l2/?csum=yPKZX5_bY6r94R_qFyOur7Qftowi1meOaIjS-98-QXN0HibRfnzseEAtme2OZU3b4DHgKY277RSYaGXBwdXB6g%2C%2C&_subid=2kn0pfvdo7f77&_token=uuid_2kn0pfvdo7f77_2kn0pfvdo7f7766a168e4a52dd8.15410948,1,0,link
